page_group,page_group1,is_show,group_desc
Indirekt offer links,Indirekt offer links,FALSE,Informational
ticketonline/tickets,ticketonline/tickets,FALSE,Informational
Musicals shows,Musicals shows,FALSE,Musicals shows
other,other,FALSE,Others
DE - TDV - PAL - 3,Vampire,TRUE,Musicals shows
FAQ,FAQ,FALSE,Informational
Abour Us,Abour Us,FALSE,Informational
DE - MM - TNF - 2,Mamma-Mia,TRUE,Musicals shows
Calendar Pages,Calendar Pages,FALSE,Checkout
Corporate Benefits,Corporate Benefits,FALSE,Informational
Cast Page,Cast Page,FALSE,Informational
DE - EIS - TAE - 1,Frozen,TRUE,Musicals shows
Service,Service,FALSE,Informational
Press,Press,FALSE,Informational
Tina,Tina,TRUE,Musicals shows
Checkout page,Checkout page,FALSE,Checkout
DE - KDL - THH - 1,The Lion King,TRUE,Musicals shows
404 Error,404 Error,FALSE,Error
Stage Theater,Stage Theater,FALSE,Informational
DE - KD - TDW - 1,Kudamm 56,TRUE,Musicals shows
For Company,For Company,FALSE,Informational
DE - BMG - BMX - 1,Blue Man Group,TRUE,Musicals shows
DE - ALA - APO - 1,Aladdin,TRUE,Musicals shows
DE - TIN - APO - 1,Tina-Stuttgart,TRUE,Musicals shows
Summer Shows,Summer Shows,FALSE,Musicals shows
Home Page,Home Page,FALSE,Musicals shows
Promotion,Promotion,FALSE,Informational
Disney Musicals,Disney Musicals,FALSE,Musicals shows
DE - TINA - OPH - 1,Tina-Hamburg,TRUE,Musicals shows
DE - HA - OPH - 1,Hamilton,TRUE,Musicals shows
DE - WI - TNF - 1,Wicked,TRUE,Musicals shows
