dim_age_id,age_code,age_name,age_decenia_bin_code,age_decenia_bin_name,age_bin_a,age_bin_a_id,age_bin_b,age_bin_b_id,age_bin_d_id,age_bin_d,age_bin_c,age_bin_c_id
0,0,0 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
1,1,1 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
2,2,2 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
3,3,3 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
4,4,4 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
5,5,5 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
6,6,6 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
7,7,7 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
8,8,8 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
9,9,9 Year,0,0-9,< 25,1,< 18,1,1,<35,25-34,2
10,10,10 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
11,11,11 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
12,12,12 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
13,13,13 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
14,14,14 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
15,15,15 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
16,16,16 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
17,17,17 Year,1,10-19,< 25,1,< 18,1,1,<35,25-34,2
18,18,18 Year,1,10-19,< 25,1,18-25,2,1,<35,18-24,1
19,19,19 Year,1,10-19,< 25,1,18-25,2,1,<35,18-24,1
20,20,20 Year,2,20-29,< 25,1,18-25,2,1,<35,18-24,1
21,21,21 Year,2,20-29,< 25,1,18-25,2,1,<35,18-24,1
22,22,22 Year,2,20-29,< 25,1,18-25,2,1,<35,18-24,1
23,23,23 Year,2,20-29,< 25,1,18-25,2,1,<35,18-24,1
24,24,24 Year,2,20-29,< 25,1,18-25,2,1,<35,18-24,1
25,25,25 Year,2,20-29,25-39,2,18-25,2,1,<35,25-34,2
26,26,26 Year,2,20-29,25-39,2,26-30,3,1,<35,25-34,2
27,27,27 Year,2,20-29,25-39,2,26-30,3,1,<35,25-34,2
28,28,28 Year,2,20-29,25-39,2,26-30,3,1,<35,25-34,2
29,29,29 Year,2,20-29,25-39,2,26-30,3,1,<35,25-34,2
30,30,30 Year,3,30-39,25-39,2,26-30,3,1,<35,25-34,2
31,31,31 Year,3,30-39,25-39,2,31-35,4,1,<35,25-34,2
32,32,32 Year,3,30-39,25-39,2,31-35,4,1,<35,25-34,2
33,33,33 Year,3,30-39,25-39,2,31-35,4,1,<35,25-34,2
34,34,34 Year,3,30-39,25-39,2,31-35,4,1,<35,25-34,2
35,35,35 Year,3,30-39,25-39,2,31-35,4,2,>=35,35-44,3
36,36,36 Year,3,30-39,25-39,2,36-40,5,2,>=35,35-44,3
37,37,37 Year,3,30-39,25-39,2,36-40,5,2,>=35,35-44,3
38,38,38 Year,3,30-39,25-39,2,36-40,5,2,>=35,35-44,3
