DimPriceTypeId,PriceTypeId,PriceTypeName,PriceTypeGroup
1,1 - FULL PRICE,FULL PRICE,FULL PRICE
2,2 - 10% OFF,10% OFF,PROMOTION
3,0 - FREE TICKET,FREE TICKET,FREE TICKET
4,ES - _N/A,_N/A,_N/A
5,RU - _N/A,_N/A,_N/A
6,FR - _N/A,_N/A,_N/A
7,NL - _N/A,_N/A,_N/A
8,DE - _N/A,_N/A,_N/A
9,ES - _UNK,_Unknown,_Unknown
10,RU - _UNK,_Unknown,_Unknown
11,FR - _UNK,_Unknown,_Unknown
12,NL - _UNK,_Unknown,_Unknown
13,DE - _UNK,_Unknown,_Unknown
14,3 - CHILDREN,CHILDREN,STANDARD
15,FP - END - FULL PRICE (END CUSTOMER),FULL PRICE (END CUSTOMER),FULL PRICE
16,PRO - 10P - 10% DISCOUNT,10% DISCOUNT,PROMOTION
17,PRO - FREE - FREE TICKET,FREE TICKET,PROMOTION
18,STD - KID - CHILD,CHILD,DISCOUNT
19,STD - SEN - SENIOR,SENIOR,DISCOUNT
20,FP - RV - FULL PRICE (TOUR OPERATOR),FULL PRICE (TOUR OPERATOR),FULL PRICE
21,FP - BUS - FULL PRICE (COACH TOURISM),FULL PRICE (COACH TOURISM),FULL PRICE
22,PRO - FD - FREE DISCOUNT,FREE DISCOUNT,PROMOTION
23,SC - SC - SCHOOL CLASS,SCHOOL CLASS,SCHOOL
24,PRO - TEA - TEACHER,TEACHER,SCHOOL
25,STD - GR - GROUP,GROUP,PROMOTION
26,STD - HP - HANDICAPPED PERSON,HANDICAPPED PERSON,DISCOUNT
27,STD - HA - HANDICAPPED ACCOMPANIMENT,HANDICAPPED ACCOMPANIMENT,DISCOUNT
28,STD - IE - IN EDUCATION,IN EDUCATION,DISCOUNT
29,PRO - YT - YOUNG TICKET,YOUNG TICKET,PROMOTION
30,PRO - FAM - FAMILIE,FAMILIE,PROMOTION
31,PRO - KUL - KULANZ,KULANZ,PROMOTION
32,PRO - 5P - 5% DISCOUNT,5% DISCOUNT,PROMOTION
33,PRO - 8P - 8% DISCOUNT,8% DISCOUNT,PROMOTION
34,PRO - 15P - 15% DISCOUNT,15% DISCOUNT,PROMOTION
35,PRO - 20P - 20% DISCOUNT,20% DISCOUNT,PROMOTION
36,PRO - 25P - 25% DISCOUNT,25% DISCOUNT,PROMOTION
37,PRO - 30P - 30% DISCOUNT,30% DISCOUNT,PROMOTION
38,PRO - 35P - 35% DISCOUNT,35% DISCOUNT,PROMOTION
39,PRO - 40P - 40% DISCOUNT,40% DISCOUNT,PROMOTION
40,PRO - 50P - 50% DISCOUNT,50% DISCOUNT,PROMOTION
41,STD - WU - WHEELCHAIR USER,WHEELCHAIR USER,DISCOUNT
42,STD - WUA - WHEELCHAIR ACCOMPANIMENT,WHEELCHAIR ACCOMPANIMENT,DISCOUNT
43,PRO - EXP - EXPEDIENT,EXPEDIENT,PROMOTION
44,PRO - UP1 - UPGRADE (SINGLE),UPGRADE (SINGLE),PROMOTION
45,PRO - 2=1 - 2 FOR 1,2 FOR 1,PROMOTION
46,PRO - UP2 - UPGRADE (DOUBLE),UPGRADE (DOUBLE),PROMOTION
47,PRO - 2=99 - 2 FOR 99,2 FOR 99,PROMOTION
48,PRO - 2=109 - 2 FOR 109,2 FOR 109,PROMOTION
49,PRO - 2=119 - 2 FOR 119,2 FOR 119,PROMOTION
50,PRO - 10D - 10€ DISCOUNT,10€ DISCOUNT,PROMOTION
51,PRO - 25D - 25€ DISCOUNT,25€ DISCOUNT,PROMOTION
52,PRO - 2=89 - 2 FOR 89,2 FOR 89,PROMOTION
53,PRO - 2=129 - 2 FOR 129,2 FOR 129,PROMOTION
54,PRO - 2=139 - 2 FOR 139,2 FOR 139,PROMOTION
55,PRO - 2=149 - 2 FOR 149,2 FOR 149,PROMOTION
56,PRO - 2=159 - 2 FOR 159,2 FOR 159,PROMOTION
57,"PRO - 6990FP - 69,90€ FIXED PRICE","69,90€ FIXED PRICE",PROMOTION
58,"PRO - 5990FP - 59,90€ FIXED PRICE","59,90€ FIXED PRICE",PROMOTION
59,"PRO - 5490FP - 54,90€ FIXED PRICE","54,90€ FIXED PRICE",PROMOTION
60,"PRO - 6490FP - 64,90€ FIXED PRICE","64,90€ FIXED PRICE",PROMOTION
61,"PRO - 4990FP - 49,90€ FIXED PRICE","49,90€ FIXED PRICE",PROMOTION
62,PRO - GEN - GENERATION,GENERATION,PROMOTION
63,PRO - 33P - 33% DISCOUNT,33% DISCOUNT,PROMOTION
64,PRO - OTHER - OTHER,OTHER,PROMOTION
65,"PRO - 2490FP - 24,90€ FIXED PRICE","24,90€ FIXED PRICE",PROMOTION
66,PRO - DFB - DEUTSCHER FUßBALL-BUND,DEUTSCHER FUßBALL-BUND,PROMOTION
67,PRO - FIX  - FIXED PRICE (DIVERSE),FIXED PRICE (DIVERSE),PROMOTION
68,FP - EK - FULL PRICE (ELEKTRA),FULL PRICE (ELEKTRA),FULL PRICE
69,"PRO - 2990FP - 29,90€ FIXED PRICE","29,90€ FIXED PRICE",PROMOTION
70,"PRO - 3990FP - 39,90€ FIXED PRICE","39,90€ FIXED PRICE",PROMOTION
71,"PRO - 7990FP - 79,90€ FIXED PRICE","79,90€ FIXED PRICE",PROMOTION
72,"PRO - 8990FP - 89,90€ FIXED PRICE","89,90€ FIXED PRICE",PROMOTION
73,PRO - 20D - 20€ DISCOUNT,20€ DISCOUNT,PROMOTION
74,PRO - HTL - HOTELPACKAGE,HOTELPACKAGE,PROMOTION
75,PRO - 15D - 15€ DISCOUNT,15€ DISCOUNT,PROMOTION
76,"PRO - 4490FP - 44,90€ FIXED PRICE","44,90€ FIXED PRICE",PROMOTION
77,"PRO - 7490FP - 74,90€ FIXED PRICE","74,90€ FIXED PRICE",PROMOTION
78,PRO - SU - SUMMER (CAMPAIGN),SUMMER (CAMPAIGN),PROMOTION
79,PRO - AU - AUTUMN (CAMPAIGN),AUTUMN (CAMPAIGN),PROMOTION
80,PRO - SP - SPRING (CAMPAIGN),SPRING (CAMPAIGN),PROMOTION
