DimProductionId,CountryCode,CountryName,ProductionCode,ProductionName,IsExpired,LicenseName,Licensor,LicenseType,ProductionId,LicenseClassification
1,DE,Germany,ALA,Aladdin,0,Aladdin,Disney Theatrical Productions Ltd.,Musical,DE - ALA,Child
2,DE,Germany,BMG,Blue Man Group,0,Blue Man Group,Blue Man Productions Inc.,Musical,DE - BMG,Drama
3,DE,Germany,CHI,Chicago,1,Chicago,National Artists Management Company,Musical,DE - CHI,Drama
4,DE,Germany,GVN,Der Glöckner von Notre Dame,1,The Hunchback Of Notre Dame,Disney Theatrical Productions Ltd.,Musical,DE - GVN,Child
5,DE,Germany,KDL,Der König der Löwen,0,Lion King,Disney Theatrical Productions Ltd.,Musical,DE - KDL,Child
6,DE,Germany,LSN,Liebe stirbt nie,1,Love Never Dies,Really Useful Group Ltd.,Musical,DE - LSN,SingThrough
7,DE,Germany,MM,Mamma Mia!,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,DE - MM,Jukebox
8,DE,Germany,MP,Mary Poppins,1,Mary Poppins,Cameron Mackintosh Ltd. / Disney Theatrical Productions Ltd.,Musical,DE - MP,Child
9,DE,Germany,NY,Ich war noch niemals in New York,0,Ich war noch niemals in New York,Stage Entertainment GmbH,Musical,DE - NY,Drama
10,DE,Germany,PDO,Das Phantom der Oper,1,Phantom Of The Opera,Really Useful Group Ltd.,Musical,DE - PDO,SingThrough
11,DE,Germany,ROC,Rocky,1,Rocky,Stage Entertainment GmbH,Musical,DE - ROC,Film
12,DE,Germany,SIA,Sister Act,1,Sister Act,Stage Entertainment GmbH,Musical,DE - SIA,Film
13,DE,Germany,TAR,Tarzan,1,Tarzan,Disney Theatrical Productions Ltd.,Musical,DE - TAR,Child
14,DE,Germany,TDV,Tanz der Vampire,0,Tanz der Vampire,VBW Vereinigte Bühnen Wien GmbH,Musical,DE - TDV,SingThrough
15,DE,Germany,UDO,Hinterm Horizont,1,Hinterm Horizont,Stage Entertainment GmbH,Musical,DE - UDO,Drama
16,DE,Germany,WVB,Das Wunder von Bern,1,Das Wunder von Bern,Stage Entertainment GmbH,Musical,DE - WVB,Other
17,ES,Spain,_N/A,_N/A,0,_N/A,_N/A,_N/A,ES - _N/A,_N//A
18,RU,Russia,_N/A,_N/A,0,_N/A,_N/A,_N/A,RU - _N/A,_N//A
19,FR,France,_N/A,_N/A,0,_N/A,_N/A,_N/A,FR - _N/A,_N//A
20,NL,Netherlands,_N/A,_N/A,0,_N/A,_N/A,_N/A,NL - _N/A,_N//A
21,DE,Germany,_N/A,_N/A,0,_N/A,_N/A,_N/A,DE - _N/A,_N//A
22,ES,Spain,_UNK,_Unknown,0,_Unknown,_Unknown,_Unknown,ES - _UNK,_Unknown
23,RU,Russia,_UNK,_Unknown,0,_Unknown,_Unknown,_Unknown,RU - _UNK,_Unknown
24,FR,France,_UNK,_Unknown,0,_Unknown,_Unknown,_Unknown,FR - _UNK,_Unknown
25,NL,Netherlands,_UNK,_Unknown,0,_Unknown,_Unknown,_Unknown,NL - _UNK,_Unknown
26,DE,Germany,_UNK,_Unknown,0,_Unknown,_Unknown,_Unknown,DE - _UNK,_Unknown
37,FR,France,BDV,Le Bal des Vampires,1,Tanz der Vampire,VBW Vereinigte Bühnen Wien GmbH,Musical,FR - BDV,SingThrough
38,FR,France,BEB,La Belle et la Bête,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,FR - BEB,Child
39,FR,France,CAT,Cats,1,Cats,Really Useful Group Ltd.,Musical,FR - CAT,SingThrough
40,FR,France,FDO,Le Fantôme de l'Opéra,1,Phantom Of The Opera,Really Useful Group Ltd.,Musical,FR - FDO,SingThrough
41,NL,Netherlands,TLK,Disney's The Lion King,1,Lion King,Disney Theatrical Productions Ltd.,Musical,NL - TLK,Child
42,NL,Netherlands,TBG,The Bodyguard,1,The Bodyguard,_N/A,Musical,NL - TBG,Jukebox
43,NL,Netherlands,BTB,Disney's Beauty And The Beast,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,NL - BTB,Child
44,NL,Netherlands,BE,Billy Elliot,1,Billy Elliot,Working Title,Musical,NL - BE,Drama
45,NL,Netherlands,MOE,Moeder Ik Wil Bij De Revue,1,Moeder Ik Wil Bij De Revue,Stage Entertainment,Musical,NL - MOE,SingThrough
46,ES,Spain,ERL,"El Rey León, el musical",0,Lion King,Disney Theatrical Productions Ltd.,Musical,ES - ERL,Child
47,ES,Spain,LMT,"Los Miserables, Tour II",1,Les Miserables,Cameron Mackintosh Ltd.,Musical,ES - LMT,SingThrough
48,ES,Spain,SAB,"Sister Act, Barcelona",1,Sister Act,Stage Entertainment GmbH,Musical,ES - SAB,Film
49,ES,Spain,SAT,"Sister Act, Tour",1,Sister Act,Stage Entertainment GmbH,Musical,ES - SAT,Film
50,ES,Spain,SAM,"Sister Act, Madrid",1,Sister Act,Stage Entertainment GmbH,Musical,ES - SAM,Film
51,ES,Spain,MMB,Mamma Mía! Barcelona,1,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MMB,Jukebox
52,ES,Spain,MMT,Mamma Mía! Tour,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MMT,Jukebox
53,RU,Russia,POTO,Призрак Оперы,1,Phantom Of The Opera,Really Useful Group Ltd.,Musical,RU - POTO,SingThrough
54,RU,Russia,BB,Красавица и Чудовище,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,RU - BB,Child
55,RU,Russia,SITR,Поющие под дождем,1,The Singing in the Rain,"Singing in the Rain Co., LP",Musical,RU - SITR,Film
56,RU,Russia,CIN,Золушка,0,Cinderella,Rodgers & Hammerstein Theatricals Europe Ltd.,Musical,RU - CIN,Child
57,RU,Russia,TDV,Бал Вампиров,0,Tanz der Vampire,VBW Vereinigte Bühnen Wien GmbH,Musical,RU - TDV,SingThrough
58,ES,Spain,MMG,Mamma MÃ­a! El Musical en Granada,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MMG,NULL
59,DE,Germany,GEF,Gefährten,1,War Horse,_N/A,Musical,DE - GEF,Film
60,DE,Germany,3M,3 Musketiere,1,"3 Musketiers, de Musical",_N/A,Musical,DE - 3M,Drama
61,DE,Germany,WI,Wicked - Die Hexen von Oz,0,Wicked - The Untold Story Of The Witches Of Oz,Universal Stage Productions,Musical,DE - WI,Child
62,DE,Germany,WWR,We Will Rock You,1,We Will Rock You,_N/A,Musical,DE - WWR,Jukebox
63,DE,Germany,ELI,Elisabeth,1,Elisabeth,VBW Vereinigte Bühnen Wien GmbH,Musical,DE - ELI,Drama
64,NL,Netherlands,ALG,ALGEMEEN,1,ALGEMEEN,Unknown,Unknown,NL - ALG,NULL
65,DE,Germany,DREIT,3THEATER,1,3 THEATER,Unknown,Unknown,DE - DREIT,NULL
66,DE,Germany,MMHH,MUSICAL METROPOLE HH,1,MUSICAL METROPOLE HH,Unknown,Unknown,DE - MMHH,NULL
67,DE,Germany,DIG,DIGITAL,1,DIGITAL,Unknown,Unknown,DE - DIG,NULL
68,NL,Netherlands,HAIR,HAIR,1,HAIR,Gallissas,Musical,NL - HAIR,Film
69,NL,Netherlands,CDR,Ciske De Rat 2016,1,Ciske de Rat,Stage Entertainment,Musical,NL - CDR,Child
70,NL,Netherlands,SIMRE,Simone - Reprise,1,Simone,Stage Entertainment,Musical,NL - SIMRE,Other
71,NL,Netherlands,MICOT,Musicals In Concert - Live On Tour,1,Musicals In Concert,_N/A,Concert,NL - MICOT,Concert
72,ES,Spain,MOLMAD,EL Hombre De La Mancha MAD,1,El Hombre De La Mancha,Stage Entertainment,Musical,ES - MOLMAD,Drama
73,ES,Spain,MOLMBCN,El Hombre De La Mancha BCN,1,El Hombre De La Mancha,Stage Entertainment,Musical,ES - MOLMBCN,Drama
74,ES,Spain,MMM,Mamma Mía! Madrid,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MMM,Jukebox
75,DE,Germany,DD,Dirty Dancing,1,Dirty Dancing,_N/A,Musical,DE - DD,Film
76,DE,Germany,TITA,Titanic,1,Titanic,_N/A,Musical,DE - TITA,Film
77,NL,Netherlands,DG,Dreamgirls,1,Dreamgirls,John F. Breglio,Musical,NL - DG,Drama
78,NL,Netherlands,GREA,Grease,1,Grease,Almo,Musical,NL - GREA,Film
79,NL,Netherlands,HZH15,Holland Zingt Hazes 2015,1,Holland Zingt Hazes,_N/A,Concert,NL - HZH15,Concert
80,NL,Netherlands,HZH16,Holland Zingt Hazes 2016,1,Holland Zingt Hazes,_N/A,Concert,NL - HZH16,Concert
81,NL,Netherlands,MIC15,Musicals In Concert 2015,1,Musicals In Concert,_N/A,Concert,NL - MIC15,Concert
82,NL,Netherlands,MIC16,Musicals In Concert 2016,1,Musicals In Concert,_N/A,Concert,NL - MIC16,Concert
83,NL,Netherlands,RL,Robert Long,1,Robert Long,Kristof Rutsaert,Musical,NL - RL,Jukebox
84,NL,Netherlands,SIM,Simone,1,Simone,Stage Entertainment,Musical,NL - SIM,Other
85,NL,Netherlands,SON,Sonneveld,1,Sonneveld,Hans van der Woude,Musical,NL - SON,Jukebox
86,NL,Netherlands,TSOM,The Sound Of Music 2015,1,The Sound Of Music,Rodgers & Hammerstein Theatricals Europe Ltd.,Musical,NL - TSOM,Film
