DimSourceId,SourceCode,SourceName,SourceGroup,IsActiveSource,IsActiveTicketSource,IsActiveDigitalTrafficSource
1,CTS,CTS Eventim,CTS,1,1,0
2,ELEKTRA,Elektra,ELEKTRA,1,1,0
3,TICKETMASTER,Ticketmaster,TICKETMASTER,0,0,0
4,APARTE,Aparté,APARTE,0,0,0
5,GROUPM,GroupM,GROUPM,0,0,0
6,KOOBIN,Koobin,KOOBIN,0,0,0
7,NDS,NDS,NDS,0,0,0
8,ONEBOX,OneBox,ONEBOX,0,0,0
9,NL,Newsletter,NL,0,0,0
10,SWEEPSTAKES,Sweepstakes,SWEEPSTAKES,0,0,0
11,SOFTIX,Softix,SOFTIX,0,0,0
12,IMPRONTA,Impronta,IMPRONTA,0,0,0
13,ENTRADAS,Entradas,ENTRADAS,0,0,0
14,APARTE2,Aparté2,APARTE,1,1,0
16,DE_DWH_AAS,DE_DWH,DE_DWH,0,0,0
17,DE_DWH_CTS,DE_DWH,DE_DWH,0,0,0
18,DE_DWH_EK1,DE_DWH,DE_DWH,0,0,0
19,DE_DWH_EK2,DE_DWH,DE_DWH,0,0,0
20,DE_DWH_EKM,DE_DWH,DE_DWH,0,0,0
21,DE_DWH_STA,DE_DWH,DE_DWH,0,0,0
22,DE_DWH_TOD,DE_DWH,DE_DWH,0,0,0
23,DE_DWH_TOS,DE_DWH,DE_DWH,0,0,0
24,GOOGLEANALYTICS,GoogleAnalytics,GOOGLEANALYTICS,1,0,1
25,ETRACKER,Etracker,ETRACKER,1,0,1
26,INXMAIL,InxMail,INXMAIL,0,0,0
27,ECI,El Corte Inglés,ECI,1,1,0
28,ATRAPALO,Atrapalo,ATRAPALO,1,1,0
29,TICKETLAND,TicketLand,TICKETLAND,1,1,0
30,DE_TICKETMASTER,DE_Ticketmaster,DE_TICKETMASTER,0,0,0
31,MUENCHENTICKET,MuenchenTicket,MUENCHENTICKET,1,1,0
32,TINA_UK,TINA_UK,TINA_UK,1,1,0
33,NEDERLANDERUS,NederlanderUS,NederlanderUS,1,1,0
34,BAAS,MediaSpend_BaaS,MediaSpend,0,0,0
35,XAXIS,MediaSpend_Xaxis,MediaSpend,0,0,0
36,PLISTA,MediaSpend_Plista,MediaSpend,0,0,0
37,OLAP,MediaSpend_OLAP,MediaSpend,0,0,0
38,RADIO,MediaSpend_Radio,MediaSpend,0,0,0
39,TV,MediaSpend_Tv,MediaSpend,0,0,0
