dim_distribution_id,distribution_id,dim_country_id,dim_source_id,distribution_channel_code,distribution_channel_name,local_sales_channel_1,local_sales_channel_2,distribution_point,commission_percentage,kick_back_percentage,distribution_owner,distribution_logic,distribution_logic_priority,channel_type_code,channel_type_name,is_distribution_owned_by_stage,discount_percentage,providing_customer_data_code,providing_customer_data_name
-266,-266,7,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-265,-265,6,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-264,-264,5,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-263,-263,4,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-262,-262,3,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-261,-261,2,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-260,-260,1,35,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-259,-259,7,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-258,-258,6,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-257,-257,5,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-256,-256,4,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-255,-255,3,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-254,-254,2,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-253,-253,1,39,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-252,-252,7,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-251,-251,6,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-250,-250,5,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-249,-249,4,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-248,-248,3,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-247,-247,2,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-246,-246,1,32,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-245,-245,7,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-244,-244,6,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-243,-243,5,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-242,-242,4,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-241,-241,3,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-240,-240,2,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-239,-239,1,3,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-238,-238,7,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-237,-237,6,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-236,-236,5,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-235,-235,4,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-234,-234,3,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-233,-233,2,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-232,-232,1,29,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-231,-231,7,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-230,-230,6,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-229,-229,5,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-228,-228,4,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-227,-227,3,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-226,-226,2,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-225,-225,1,10,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-224,-224,7,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-223,-223,6,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-222,-222,5,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-221,-221,4,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-220,-220,3,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-219,-219,2,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-218,-218,1,11,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-217,-217,7,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-216,-216,6,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-215,-215,5,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-214,-214,4,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-213,-213,3,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-212,-212,2,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-211,-211,1,38,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-210,-210,7,36,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-209,-209,6,36,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-208,-208,5,36,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
-207,-207,4,36,_N/A,_N/A,_N/A,_N/A,_N/A,0,0,_N/A,_N/A,99999,_N/A,_N/A,0,0,0,Customer Data NOT Provided
