dim_price_category_id,price_category_id,price_category_name,sort_code,price_category_group,dim_production_location_id
1,RU - CIN - ROS - 1 - VIP,VIP,1,HIGH,126
2,RU - TDV - MDM - 1 - PREMIUM,PREMIUM,1,HIGH,127
3,RU - TDV - MDM - 1 - PK2,PK2,2,HIGH,127
4,ES - ERL - LDV - 1 - VIP,VIP,1,HIGH,155
5,ES - ERL - LDV - 1 - PK2,PK2,2,HIGH,155
6,ES - _N/A,_N/A,-1,_N/A,109
7,RU - _N/A,_N/A,-1,_N/A,110
8,FR - _N/A,_N/A,-1,_N/A,111
9,NL - _N/A,_N/A,-1,_N/A,112
10,DE - _N/A,_N/A,-1,_N/A,113
11,ES - _UNK,_Unknown,-1,_Unknown,114
12,RU - _UNK,_Unknown,-1,_Unknown,115
13,FR - _UNK,_Unknown,-1,_Unknown,116
14,NL - _UNK,_Unknown,-1,_Unknown,117
15,DE - _UNK,_Unknown,-1,_Unknown,118
16,DE - BMG - BMX - 1 - PONCHO (MITTE),PONCHO (MITTE),1,HIGH,63
17,DE - BMG - BMX - 1 - PONCHO (SEITE),PONCHO (SEITE),2,HIGH,63
18,DE - BMG - BMX - 1 - PK1,PK1,3,HIGH,63
19,DE - BMG - BMX - 1 - PK2,PK2,4,MEDIUM,63
20,DE - BMG - BMX - 1 - PK3,PK3,5,LOW,63
21,DE - GVN - TDW - 1 - PK1,PK1,2,HIGH,88
22,DE - GVN - TDW - 1 - PK2,PK2,3,MEDIUM,88
23,DE - GVN - TDW - 1 - PK3,PK3,4,MEDIUM,88
24,DE - GVN - TDW - 1 - PK4,PK4,5,LOW,88
25,DE - GVN - TDW - 1 - PK5,PK5,6,LOW,88
26,DE - GVN - TDW - 1 - PREMIUM,PREMIUM,1,HIGH,88
27,DE - ALA - TNF - 1 - PREMIUM,PREMIUM,1,HIGH,87
28,DE - ALA - TNF - 1 - PK1,PK1,2,HIGH,87
29,DE - ALA - TNF - 1 - PK2,PK2,3,MEDIUM,87
30,DE - ALA - TNF - 1 - PK3,PK3,4,MEDIUM,87
31,DE - ALA - TNF - 1 - PK4,PK4,5,LOW,87
32,DE - ALA - TNF - 1 - PK5,PK5,6,LOW,87
33,DE - KDL - THH - 1 - PREMIUM,PREMIUM,1,HIGH,60
34,DE - KDL - THH - 1 - PK1,PK1,2,HIGH,60
35,DE - KDL - THH - 1 - PK2,PK2,3,MEDIUM,60
36,DE - KDL - THH - 1 - PK3,PK3,4,MEDIUM,60
37,DE - KDL - THH - 1 - PK4,PK4,5,LOW,60
38,DE - MP - APO - 1 - PREMIUM,PREMIUM,1,HIGH,77
39,DE - MP - APO - 1 - PK1,PK1,2,HIGH,77
40,DE - MP - APO - 1 - PK2,PK2,3,MEDIUM,77
41,DE - MP - APO - 1 - PK3,PK3,4,MEDIUM,77
42,DE - MP - APO - 1 - PK4,PK4,5,LOW,77
43,DE - TAR - MET - 1 - PREMIUM,PREMIUM,1,HIGH,86
44,DE - TAR - MET - 1 - PK1,PK1,2,HIGH,86
45,DE - TAR - MET - 1 - PK2,PK2,3,MEDIUM,86
46,DE - TAR - MET - 1 - PK3,PK3,4,MEDIUM,86
47,DE - TAR - MET - 1 - PK4,PK4,5,LOW,86
48,DE - TAR - MET - 1 - PK5,PK5,6,LOW,86
49,DE - TDV - PAL - 2 - PREMIUM,PREMIUM,1,HIGH,74
50,DE - TDV - PAL - 2 - PK1,PK1,2,HIGH,74
51,DE - TDV - PAL - 2 - PK2,PK2,3,MEDIUM,74
52,DE - TDV - PAL - 2 - PK3,PK3,4,MEDIUM,74
53,DE - TDV - PAL - 2 - PK4,PK4,5,LOW,74
54,DE - CHI - PAL - 1 - PREMIUM,PREMIUM,1,HIGH,94
55,DE - CHI - PAL - 1 - PK1,PK1,2,HIGH,94
56,DE - CHI - PAL - 1 - PK2,PK2,3,MEDIUM,94
57,DE - CHI - PAL - 1 - PK3,PK3,4,MEDIUM,94
58,DE - CHI - PAL - 1 - PK4,PK4,5,LOW,94
59,DE - CHI - TDW - 1 - PREMIUM,PREMIUM,1,HIGH,95
60,DE - CHI - TDW - 1 - PK1,PK1,2,HIGH,95
61,DE - CHI - TDW - 1 - PK2,PK2,3,MEDIUM,95
62,DE - CHI - TDW - 1 - PK3,PK3,4,MEDIUM,95
63,DE - CHI - TDW - 1 - PK4,PK4,5,LOW,95
64,DE - CHI - TDW - 1 - PK5,PK5,6,LOW,95
65,DE - LSN - OPH - 1 - PREMIUM,PREMIUM,1,HIGH,96
66,DE - LSN - OPH - 1 - PK1,PK1,2,HIGH,96
67,DE - LSN - OPH - 1 - PK2,PK2,3,MEDIUM,96
68,DE - LSN - OPH - 1 - PK3,PK3,4,MEDIUM,96
69,DE - LSN - OPH - 1 - PK4,PK4,5,LOW,96
70,DE - PDO - TNF - 1 - PREMIUM,PREMIUM,1,HIGH,92
71,DE - PDO - TNF - 1 - PK1,PK1,2,HIGH,92
72,DE - PDO - TNF - 1 - PK2,PK2,3,MEDIUM,92
73,DE - PDO - TNF - 1 - PK3,PK3,4,MEDIUM,92
74,DE - PDO - TNF - 1 - PK4,PK4,5,LOW,92
75,DE - PDO - TNF - 1 - PK5,PK5,6,LOW,92
76,DE - UDO - OPH - 1 - PREMIUM,PREMIUM,1,HIGH,76
77,DE - UDO - OPH - 1 - PK1,PK1,2,HIGH,76
78,DE - UDO - OPH - 1 - PK2,PK2,3,MEDIUM,76
79,DE - UDO - OPH - 1 - PK3,PK3,4,MEDIUM,76
80,DE - UDO - OPH - 1 - PK4,PK4,5,LOW,76
81,DE - ROC - OPH - 1 - GOLDEN CIRCEL,GOLDEN CIRCEL,1,HIGH,61
82,DE - ROC - OPH - 1 - PREMIUM,PREMIUM,2,HIGH,61
83,DE - ROC - OPH - 1 - PK1,PK1,3,HIGH,61
84,DE - ROC - OPH - 1 - PK2,PK2,4,MEDIUM,61
85,DE - ROC - OPH - 1 - PK3,PK3,5,MEDIUM,61
86,DE - ROC - OPH - 1 - PK4,PK4,6,LOW,61
87,DE - WVB - TAE - 1 - PREMIUM,PREMIUM,1,HIGH,89
88,DE - WVB - TAE - 1 - PK1,PK1,2,HIGH,89
89,DE - WVB - TAE - 1 - PK2,PK2,3,MEDIUM,89
90,DE - WVB - TAE - 1 - PK3,PK3,4,MEDIUM,89
91,DE - WVB - TAE - 1 - PK4,PK4,5,LOW,89
92,DE - UDO - TPP - 1 - PREMIUM,PREMIUM,1,HIGH,75
93,DE - UDO - TPP - 1 - PK1,PK1,2,HIGH,75
94,DE - UDO - TPP - 1 - PK2,PK2,3,MEDIUM,75
95,DE - UDO - TPP - 1 - PK3,PK3,4,MEDIUM,75
96,DE - UDO - TPP - 1 - PK4,PK4,5,LOW,75
97,DE - UDO - TPP - 1 - PK5,PK5,6,LOW,75
98,DE - SIA - TDW - 1 - PREMIUM,PREMIUM,1,HIGH,107
99,DE - SIA - TDW - 1 - PK1,PK1,2,HIGH,107
100,DE - SIA - TDW - 1 - PK2,PK2,3,MEDIUM,107
101,DE - SIA - TDW - 1 - PK3,PK3,4,MEDIUM,107
102,DE - SIA - TDW - 1 - PK4,PK4,5,LOW,107
103,DE - SIA - TDW - 1 - PK5,PK5,6,LOW,107
104,DE - TDV - TDW - 3 - PREMIUM,PREMIUM,1,HIGH,73
105,DE - TDV - TDW - 3 - PK1,PK1,2,HIGH,73
106,DE - TDV - TDW - 3 - PK2,PK2,3,MEDIUM,73
107,DE - TDV - TDW - 3 - PK3,PK3,4,MEDIUM,73
108,DE - TDV - TDW - 3 - PK4,PK4,5,LOW,73
109,DE - TDV - TDW - 3 - PK5,PK5,6,LOW,73
110,DE - NY - TDW - 1 - PREMIUM,PREMIUM,1,HIGH,81
111,DE - NY - TDW - 1 - PK1,PK1,2,HIGH,81
112,DE - NY - TDW - 1 - PK2,PK2,3,MEDIUM,81
113,DE - NY - TDW - 1 - PK3,PK3,4,MEDIUM,81
114,DE - NY - TDW - 1 - PK4,PK4,5,LOW,81
115,DE - NY - TDW - 1 - PK5,PK5,6,LOW,81
116,DE - NY - TDW - 2 - PREMIUM,PREMIUM,1,HIGH,82
117,DE - NY - TDW - 2 - PK1,PK1,2,HIGH,82
118,DE - NY - TDW - 2 - PK2,PK2,3,MEDIUM,82
119,DE - NY - TDW - 2 - PK3,PK3,4,MEDIUM,82
120,DE - NY - TDW - 2 - PK4,PK4,5,LOW,82
121,DE - NY - TDW - 2 - PK5,PK5,6,LOW,82
122,DE - TAR - APO - 1 - PREMIUM,PREMIUM,1,HIGH,85
123,DE - TAR - APO - 1 - PK1,PK1,2,HIGH,85
124,DE - TAR - APO - 1 - PK2,PK2,3,MEDIUM,85
125,DE - TAR - APO - 1 - PK3,PK3,4,MEDIUM,85
126,DE - TAR - APO - 1 - PK4,PK4,5,LOW,85
127,DE - ROC - PAL - 1 - GOLDEN CIRCEL,GOLDEN CIRCEL,1,HIGH,62
128,DE - ROC - PAL - 1 - PREMIUM,PREMIUM,2,HIGH,62
129,DE - ROC - PAL - 1 - PK1,PK1,3,HIGH,62
130,DE - ROC - PAL - 1 - PK2,PK2,4,MEDIUM,62
131,DE - ROC - PAL - 1 - PK3,PK3,5,MEDIUM,62
132,DE - ROC - PAL - 1 - PK4,PK4,6,LOW,62
