dim_production_location_id,country_code,country_name,dim_production_id,production_code,production_name,dim_auditorium_id,production_location_id,sales_start_date,production_location_premiere_date,production_location_start_date,production_location_end_date,production_location_derniere_date,is_expired,production_location_capacity,production_location_description,production_location_type,show_in_group_sales_reporting,show_in_group_salesreporting_name
60,DE,Germany,5,KDL,Der König der Löwen,3,DE - KDL - THH - 1,,2001-12-02 00:00:00.000,2000-01-01 00:00:00.000,,,0,2045,_N/A,Sit Down,1,Yes
61,DE,Germany,11,ROC,Rocky,6,DE - ROC - OPH - 1,2011-11-20 00:00:00.000,2012-11-18 00:00:00.000,2012-11-20 00:00:00.000,2015-08-19 00:00:00.000,2015-08-19 00:00:00.000,1,1341,_N/A,Sit Down,1,Yes
62,DE,Germany,11,ROC,Rocky,12,DE - ROC - PAL - 1,2015-02-19 00:00:00.000,2015-11-11 00:00:00.000,2015-11-11 00:00:00.000,2017-01-15 00:00:00.000,2017-01-15 00:00:00.000,1,1815,_N/A,Sit Down,1,Yes
63,DE,Germany,2,BMG,Blue Man Group,8,DE - BMG - BMX - 1,2006-09-07 00:00:00.000,2007-02-01 00:00:00.000,2007-02-01 00:00:00.000,,,0,612,_N/A,Sit Down,1,Yes
64,DE,Germany,2,BMG,Blue Man Group,10,DE - BMG - TPP - 1,,2004-05-09 00:00:00.000,2004-05-10 00:00:00.000,2007-01-31 00:00:00.000,2007-01-31 00:00:00.000,1,1740,_N/A,Sit Down,1,Yes
65,DE,Germany,2,BMG,Blue Man Group,11,DE - BMG - MET - 1,2006-09-21 00:00:00.000,2007-03-11 00:00:00.000,2007-03-12 00:00:00.000,2008-10-04 00:00:00.000,2008-10-04 00:00:00.000,1,1790,_N/A,Sit Down,1,Yes
66,DE,Germany,2,BMG,Blue Man Group,2,DE - BMG - APO - 1,2007-10-01 00:00:00.000,2008-02-29 00:00:00.000,2008-02-29 00:00:00.000,2008-10-12 00:00:00.000,2008-10-12 00:00:00.000,1,1575,_N/A,Sit Down,1,Yes
67,DE,Germany,14,TDV,Tanz der Vampire,2,DE - TDV - APO - 1,,2002-07-02 00:00:00.000,,2003-08-31 17:00:00.000,2003-08-31 17:00:00.000,1,1786,_N/A,Sit Down,1,Yes
68,DE,Germany,14,TDV,Tanz der Vampire,5,DE - TDV - TNF - 1,,2003-12-07 00:00:00.000,2003-12-09 00:00:00.000,2007-09-15 19:30:00.000,2007-09-15 19:30:00.000,1,1960,_N/A,Sit Down,1,Yes
69,DE,Germany,14,TDV,Tanz der Vampire,9,DE - TDV - TDW - 1,2006-05-31 00:00:00.000,2006-12-10 00:00:00.000,2006-12-12 00:00:00.000,2008-03-30 19:30:00.000,2008-03-30 19:30:00.000,1,1660,_N/A,Sit Down,1,Yes
70,DE,Germany,14,TDV,Tanz der Vampire,11,DE - TDV - MET - 1,2008-03-27 00:00:00.000,2008-11-07 00:00:00.000,2008-11-08 00:00:00.000,2010-01-31 19:30:00.000,2010-01-31 19:30:00.000,1,1615,_N/A,Sit Down,1,Yes
71,DE,Germany,14,TDV,Tanz der Vampire,12,DE - TDV - PAL - 1,2007-10-18 00:00:00.000,2010-02-25 00:00:00.000,2010-02-27 00:00:00.000,2011-10-16 19:00:00.000,2011-10-16 19:00:00.000,1,1767,_N/A,Sit Down,1,Yes
72,DE,Germany,14,TDV,Tanz der Vampire,9,DE - TDV - TDW - 2,2011-03-25 00:00:00.000,2011-11-14 00:00:00.000,2011-11-16 00:00:00.000,2013-08-25 14:30:00.000,2013-08-25 14:30:00.000,1,1617,_N/A,Sit Down,1,Yes
73,DE,Germany,14,TDV,Tanz der Vampire,9,DE - TDV - TDW - 3,2015-11-05 00:00:00.000,2016-04-24 00:00:00.000,2016-04-26 19:30:00.000,2016-09-25 00:00:00.000,2016-09-25 00:00:00.000,1,1620,_N/A,Sit Down,1,Yes
74,DE,Germany,14,TDV,Tanz der Vampire,12,DE - TDV - PAL - 2,2016-08-29 00:00:00.000,2017-01-26 00:00:00.000,2017-01-26 00:00:00.000,2017-09-03 00:00:00.000,2017-09-03 00:00:00.000,1,1737,_N/A,Sit Down,1,Yes
75,DE,Germany,15,UDO,Hinterm Horizont,10,DE - UDO - TPP - 1,2009-10-02 00:00:00.000,2011-01-13 00:00:00.000,2011-01-15 00:00:00.000,2016-08-28 00:00:00.000,2016-08-28 00:00:00.000,1,1750,_N/A,Sit Down,1,Yes
76,DE,Germany,15,UDO,Hinterm Horizont,6,DE - UDO - OPH - 1,2016-05-10 00:00:00.000,2016-11-09 00:00:00.000,2016-11-11 00:00:00.000,2017-10-29 00:00:00.000,2017-10-29 00:00:00.000,1,1314,_N/A,Sit Down,1,Yes
77,DE,Germany,8,MP,Mary Poppins,2,DE - MP - APO - 1,2016-03-01 00:00:00.000,2016-10-23 00:00:00.000,2016-10-26 00:00:00.000,2018-01-28 00:00:00.000,2018-01-28 00:00:00.000,1,1739,_N/A,Sit Down,1,Yes
78,DE,Germany,9,NY,Ich war noch niemals in New York,6,DE - NY - OPH - 1,2007-01-29 00:00:00.000,2007-12-02 00:00:00.000,2007-12-05 00:00:00.000,2010-09-28 00:00:00.000,2010-09-28 00:00:00.000,1,1385,_N/A,Sit Down,1,Yes
79,DE,Germany,9,NY,Ich war noch niemals in New York,2,DE - NY - APO - 1,2009-12-04 00:00:00.000,2010-11-18 00:00:00.000,2010-11-18 00:00:00.000,2012-10-14 00:00:00.000,2012-10-14 00:00:00.000,1,1844,_N/A,Sit Down,1,Yes
80,DE,Germany,9,NY,Ich war noch niemals in New York,11,DE - NY - MET - 1,2012-05-22 00:00:00.000,2012-12-05 00:00:00.000,2012-12-07 00:00:00.000,2013-10-24 00:00:00.000,2013-10-24 00:00:00.000,1,1616,_N/A,Sit Down,1,Yes
81,DE,Germany,9,NY,Ich war noch niemals in New York,9,DE - NY - TDW - 1,2014-09-24 00:00:00.000,2015-03-25 00:00:00.000,2015-03-27 00:00:00.000,2015-09-27 00:00:00.000,2015-09-27 00:00:00.000,1,1653,_N/A,Sit Down,1,Yes
82,DE,Germany,9,NY,Ich war noch niemals in New York,9,DE - NY - TDW - 2,2015-08-21 00:00:00.000,2016-01-24 00:00:00.000,2016-01-24 00:00:00.000,2016-04-10 00:00:00.000,2016-04-10 00:00:00.000,1,1653,_N/A,Sit Down,1,Yes
83,DE,Germany,9,NY,Ich war noch niemals in New York,4,DE - NY - TAE - 1,2016-10-10 00:00:00.000,2017-01-19 00:00:00.000,2017-01-19 00:00:00.000,2017-09-10 00:00:00.000,2017-09-10 00:00:00.000,1,1880,_N/A,Sit Down,1,Yes
