ArticleTypeCode,Code,CountryCode,DeleteFromBI,MdsLastChangeDate,ProductionLocationId,SourceCode,SourceLocation,SourceProduction,TheatreId
TICKET,5820,DE,,19/12/2018,DE - MM - COL - 2,CTS,COLOSSEUM THEATER ESSEN,PREVIEW MAMMA MIA! IN ESSEN,DE - COL
TICKET,5821,DE,,19/12/2018,DE - MM - COL - 2,CTS,COLOSSEUM THEATER ESSEN,PREMIERE MAMMA MIA! IN ESSEN,DE - COL
TICKET,5780,DE,,29/11/2018,DE - MM - COL - 2,CTS,COLOSSEUM THEATER ESSEN,MAMMA MIA! IN ESSEN,DE - COL
TICKET,5781,DE,,29/11/2018,DE - MM - COL - 2,ELEKTRA,COLOSSEUM THEATER ESSEN,MAMMA MIA! IN ESSEN,DE - COL
TOUR,5941,DE,,09/09/2019,DE - BST - BSTAPO - 1,ELEKTRA,STAGE APOLLO THEATER,BACKSTAGEFÜHRUNG APOLLO THEATER,DE - APO
TOUR,5674,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG DISNEYS ALADDIN IN STUTTGART,DE - APO
TOUR,5311,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG DISNEYS DER GLÖCKNER VON NOTRE DAME IN STUTTGART,DE - APO
TOUR,5238,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG APOLLO THEATER,DE - APO
TOUR,5015,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG ICH WAR NOCH NIEMALS IN NEW YORK,DE - APO
TOUR,4972,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG SISTER ACT STUTTGART,DE - APO
TOUR,4842,DE,,09/09/2019,DE - BST - BSTAPO - 1,ELEKTRA,STAGE APOLLO THEATER,BACKSTAGE 42ND STREET,DE - APO
TOUR,4875,DE,,09/09/2019,DE - BST - BSTAPO - 1,ELEKTRA,APOLLO THEATER,BACKSTAGEFÜHRUNG TDV,DE - APO
TOUR,1214,DE,,09/09/2019,DE - BST - BSTAPO - 1,ELEKTRA,STAGE APOLLO THEATER,BFAPO BACKSTAGEFÜHRUNG APOLLO,DE - APO
TOUR,210,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÃ¼HRUNG TARZAN STUTTGART,DE - APO
TOUR,66,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG MARY POPPINS,DE - APO
TOUR,61,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,ABGESAGT BACKSTAGEFÜHRUNG TARZAN STUTTGART,DE - APO
TOUR,12,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÜHRUNG TARZAN STUTTGART,DE - APO
TOUR,267,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,BACKSTAGEFÃ¼HRUNG MARY POPPINS,DE - APO
TOUR,239,DE,,09/09/2019,DE - BST - BSTAPO - 1,CTS,STAGE APOLLO THEATER STUTTGART,ABGESAGT BACKSTAGEFÃ¼HRUNG TARZAN STUTTGART,DE - APO
TOUR,2510,DE,,09/09/2019,DE - BST - BSTAPO - 1,ELEKTRA,APOLLO THEATER,ALTBFAPO BACKSTAGEFÜHRUNG APOLLO,DE - APO
TICKET,5189,DE,,05/07/2017,DE - GVN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,DISNEYS DER GLÖCKNER VON NOTRE DAME IN STUTTGART,DE - APO
TICKET,5244,DE,,10/07/2017,DE - GVN - APO - 1,ELEKTRA,APOLLO THEATER IM,GVN STU,DE - APO
TICKET,5463,DE,,19/10/2017,DE - GVN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,PREVIEW DISNEYS DER GLÖCKNER VON NOTRE DAME IN STUTTGART,DE - APO
TICKET,5454,DE,,19/10/2017,DE - GVN - APO - 1,ELEKTRA,APOLLO THEATER IM,PRGVN STU,DE - APO
TICKET,5613,DE,,02/07/2018,DE - GVN - APO - 1,ELEKTRA,STAGE APOLLO THEATER,GVN STU GLÖCKNER VON NOTRE DAME,DE - APO
TICKET,5741,DE,,06/11/2018,DE - GVN - APO - 1,DE_TICKETMASTER,,DER GLÖCKNER VON NOTRE DAME,DE - APO
TICKET,5471,DE,,06/11/2017,DE - GVN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,PREMIERE DISNEYS DER GLÖCKNER VON NOTRE DAME IN STUTTGART,DE - APO
TICKET,5474,DE,,06/11/2017,DE - GVN - APO - 1,ELEKTRA,STAGE APOLLO THEATER,GVN STU,DE - APO
TICKET,5475,DE,,06/11/2017,DE - GVN - APO - 1,ELEKTRA,STAGE APOLLO THEATER,PRGVN STU,DE - APO
F&B,4074,DE,,16/01/2017,,ELEKTRA,STAGE APOLLO THEATER,ARAPO WEIHNACHTEN,DE - APO
F&B,4090,DE,,16/01/2017,,ELEKTRA,APOLLO THEATER,ALT MMST MUSICAL MENÜ STUTTGART,DE - APO
F&B,4099,DE,,16/01/2017,,ELEKTRA,,VERZEHRGUTSCHEIN APOLLO,DE - APO
F&B,4102,DE,,13/02/2017,,ELEKTRA,APOLLO THEATER,TIME SQUARE,DE - APO
F&B,4568,DE,,06/02/2017,,ELEKTRA,,OPEN BAR | ELISABETH STUTTGART,DE - APO
F&B,4663,DE,,06/02/2017,,ELEKTRA,STAGE APOLLO THEATER,OBBMG OPEN BAR BMGS,DE - APO
F&B,4692,DE,,06/02/2017,,ELEKTRA,APOLLO THEATER,L42-LOUNGE 42ND STREET,DE - APO
,4639,DE,,28/02/2017,,ELEKTRA,APOLLO THEATER,2003 - COLOURS OF MUSIC,DE - APO
,4749,DE,,28/02/2017,,ELEKTRA,,RV GUB|  APOLLO THEATER,DE - APO
TICKET,4759,DE,,01/03/2017,,ELEKTRA,APOLLO THEATER IM,COLOURS OF MUSIC - 2004,DE - APO
TICKET,6556,DE,,12/10/2022,DE - TIN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,PREVIEW TINA - DAS TINA TURNER MUSICAL I STUTTGART,DE - APO
TICKET,6456,DE,,03/03/2022,DE - TIN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,TINA - DAS TINA TURNER MUSICAL I STUTTGART,DE - APO
TICKET,6457,DE,,03/03/2022,DE - TIN - APO - 1,ELEKTRA,STAGE APOLLO THEATER STUTTGART,TINA - DAS TINA TURNER MUSICAL I STUTTGART,DE - APO
TICKET,6458,DE,,04/03/2022,DE - TIN - APO - 1,ELEKTRA,STAGE APOLLO THEATER,TINA - DAS TINA TURNER MUSICAL I STUTTGART,DE - APO
TICKET,6581,DE,,05/12/2022,DE - TIN - APO - 1,CTS,STAGE APOLLO THEATER STUTTGART,PREMIERE TINA - DAS TINA TURNER MUSICAL I STUTTGART,DE - APO
F&B,4757,DE,,06/02/2017,,ELEKTRA,APOLLO THEATER,LT-LOUNGE TANZ DER VAMPIRE,DE - APO
F&B,4811,DE,,06/02/2017,,ELEKTRA,APOLLO THEATER IM,LE-LOUNGE ELISABETH,DE - APO
F&B,4874,DE,,10/02/2017,,ELEKTRA,APOLLO THEATER,06TIME SQUARE,DE - APO
F&B,4898,DE,,10/02/2017,,ELEKTRA,STAGE APOLLO THEATER,06ECCO,DE - APO
F&B,4988,DE,,20/04/2017,,CTS,STAGE APOLLO THEATER STUTTGART,CORPORATE VOUCHER PREMIUM GASTRO1 (APO),DE - APO
F&B,5030,DE,,20/04/2017,,CTS,STAGE APOLLO THEATER STUTTGART,CORPORATE VOUCHER PREMIUM GASTRO2 (APO),DE - APO
F&B,5077,DE,,20/04/2017,,CTS,STAGE APOLLO THEATER STUTTGART,ABGESAGT OPEN BAR APOLLO THEATER,DE - APO
F&B,5225,DE,,10/07/2017,,CTS,STAGE APOLLO THEATER STUTTGART,CLUB LOUNGE APOLLO THEATER,DE - APO
TEST,5239,DE,,10/07/2017,,CTS,STAGE APOLLO THEATER STUTTGART,TEST MUSICALFÜHRER,DE - APO
F&B,5759,DE,,05/05/2021,,ELEKTRA,STAGE APOLLO THEATER,1OBBAPO OPEN BAR BUS APOLLO,DE - APO
