dim_theatre_id,country_code,country_name,theatre_id,theatre_code,theatre_name,address,postcode,city_code,city,owner,max_capacity,is_theatre_owned_by_stage
1,DE,Germany,DE - COL,COL,Colosseum Theater,Altendorfstraße 1,45127,ESS,Essen,Stage Entertainment,1644,1
2,DE,Germany,DE - APO,APO,Stage Apollo Theater,Plieninger Straße 102,70567,STU,Stuttgart,Stage Entertainment,1875,1
3,DE,Germany,DE - THH,THH,Stage Theater im Hafen,Norderelbstraße 6,20457,HAM,Hamburg,Stage Entertainment,2046,1
4,DE,Germany,DE - TAE,TAE,Stage Theater an der Elbe,Norderelbstraße 8,20457,HAM,Hamburg,Stage Entertainment,1902,1
5,DE,Germany,DE - TNF,TNF,Stage Theater Neue Flora,Stresemannstraße 163,22769,HAM,Hamburg,Stage Entertainment,1881,1
6,DE,Germany,DE - OPH,OPH,Stage Operettenhaus,Spielbudenplatz 1,20359,HAM,Hamburg,Stage Entertainment,1383,1
7,DE,Germany,DE - KEH,KEH,Theater Kehrwieder,Kehrwieder 6,20457,HAM,Hamburg,Stage Entertainment,320,1
8,DE,Germany,DE - BMX,BMX,Stage Bluemax Theater,Marlene-Dietrich-Platz 4,10785,BER,Berlin,Stage Entertainment,618,1
9,DE,Germany,DE - TDW,TDW,Stage Theater des Westens,Kantstraße 12,10623,BER,Berlin,Stage Entertainment,1653,1
10,DE,Germany,DE - TPP,TPP,Stage Theater am Potsdamer Platz,Marlene-Dietrich-Platz 1,10785,BER,Berlin,Stage Entertainment,2000,1
11,DE,Germany,DE - MET,MET,Stage Metronom Theater,Musikweg 1,46047,OBE,Oberhausen,Stage Entertainment,1636,1
12,DE,Germany,DE - PAL,PAL,Stage Palladium Theater,Plieninger Straße 109,70567,STU,Stuttgart,Stage Entertainment,1807,1
13,ES,Spain,ES - _N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,-1,0
14,RU,Russia,RU - _N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,-1,0
15,FR,France,FR - _N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,-1,0
16,NL,Netherlands,NL - _N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,-1,0
17,DE,Germany,DE - _N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,_N/A,-1,0
18,ES,Spain,ES - _UNK,_UNK,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,-1,0
19,RU,Russia,RU - _UNK,_UNK,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,-1,0
20,FR,France,FR - _UNK,_UNK,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,-1,0
21,NL,Netherlands,NL - _UNK,_UNK,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,-1,0
22,DE,Germany,DE - _UNK,_UNK,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,_Unknown,-1,0
23,FR,France,FR - TMO,TMO,Théâtre Mogador,25 Rue de Mogador,75009,PAR,Paris,Stage Entertainment,1610,1
24,RU,Russia,RU - MDM,MDM,MDM Theater,"Komsomolsky prospect, 28",119146,MSK,Moscow,Stage Entertainment,1808,1
25,RU,Russia,RU - ROS,ROS,Rossia Theater,"Pushkinskaya square, 2",127006,MSK,Moscow,Stage Entertainment,1753,1
